name,price,image
Royal Canin Veterinary Diets Renal Select - 2 Kg.,15.70,https://www.petsonic.com/25361-large_default/pienso-para-perros-royal-canin-veterinary-diets-renal-select.jpg
Royal Canin Veterinary Diets Renal Select - 10 Kg,51.67,https://www.petsonic.com/25361-large_default/pienso-para-perros-royal-canin-veterinary-diets-renal-select.jpg
Royal Canin Veterinary Diets Hypoallergenic Small Dog - 1 Kg.,11.95,https://www.petsonic.com/24052-large_default/pienso-para-perros-royal-canin-veterinary-diets-hypoallergenic-small-dog.jpg
Royal Canin Veterinary Diets Hypoallergenic Small Dog - 3.5 Kg.,32.95,https://www.petsonic.com/24052-large_default/pienso-para-perros-royal-canin-veterinary-diets-hypoallergenic-small-dog.jpg
Royal Canin Veterinary Diets Calm CD25 - 2 Kg.,23.20,https://www.petsonic.com/28718-large_default/pienso-para-perros-royal-canin-veterinary-diets-calm-cd25.jpg
Royal Canin Veterinary Diets Calm CD25 - 4 Kg.,36.89,https://www.petsonic.com/28718-large_default/pienso-para-perros-royal-canin-veterinary-diets-calm-cd25.jpg
Royal Canin Veterinary Diets Vet Care Neutered Adult Small Dog - 800 Gr.,7.43,https://www.petsonic.com/28716-large_default/pienso-para-perros-royal-canin-veterinary-diets-vet-care-neutered-adult-small-dog.jpg
Royal Canin Veterinary Diets Vet Care Neutered Adult Small Dog - 1.5 Kg.,11.80,https://www.petsonic.com/28716-large_default/pienso-para-perros-royal-canin-veterinary-diets-vet-care-neutered-adult-small-dog.jpg
Royal Canin Veterinary Diets Vet Care Neutered Adult Small Dog - 8 Kg,43.77,https://www.petsonic.com/28716-large_default/pienso-para-perros-royal-canin-veterinary-diets-vet-care-neutered-adult-small-dog.jpg
Royal Canin Veterinary Diets Vet Care Neutered Adult Large Dog - 4 Kg.,22.57,https://www.petsonic.com/28712-large_default/pienso-para-perros-royal-canin-veterinary-diets-vet-care-neutered-adult-large-dog.jpg
Royal Canin Veterinary Diets Vet Care Neutered Adult Large Dog - 13 Kg,55.70,https://www.petsonic.com/28712-large_default/pienso-para-perros-royal-canin-veterinary-diets-vet-care-neutered-adult-large-dog.jpg
Royal Canin Veterinary Diets Hypoallergenic - 2 Kg.,19.50,https://www.petsonic.com/28720-large_default/pienso-para-perros-royal-canin-veterinary-diets-hypoallergenic-dr-21.jpg
Royal Canin Veterinary Diets Hypoallergenic - 7 Kg,48.95,https://www.petsonic.com/28720-large_default/pienso-para-perros-royal-canin-veterinary-diets-hypoallergenic-dr-21.jpg
Royal Canin Veterinary Diets Hypoallergenic - 14 Kg,75.96,https://www.petsonic.com/28720-large_default/pienso-para-perros-royal-canin-veterinary-diets-hypoallergenic-dr-21.jpg
Royal Canin Veterinary Diets Sensitivity Control - 1.5 Kg.,15.33,https://www.petsonic.com/24057-large_default/pienso-para-perros-royal-canin-veterinary-diets-sensitivity-control-sc-24.jpg
Royal Canin Veterinary Diets Sensitivity Control - 7 Kg,50.88,https://www.petsonic.com/24057-large_default/pienso-para-perros-royal-canin-veterinary-diets-sensitivity-control-sc-24.jpg
